ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
826,1946,-.014996884,.016107684,.052713126,.046680383,.076095343,.074282058,0,0,,,,,,,-.044334091,,,,,,,
826,1947,.031104568,.067710012,.06167727,.091092229,.089278944,.1278477,0,0,0,,,0,,,-.014996884,-.044334091,,,.019693,,,
826,1948,.03660544,.030572698,.059987657,.058174372,.096743129,.1366806,0,0,0,0,,0,0,,.031104568,-.014996884,-.044334091,,.0031300001,.019693,,
826,1949,-.0060327421,.023382219,.021568934,.060137689,.10007516,.13578311,0,0,0,0,0,0,0,0,.03660544,.031104568,-.014996884,-.044334091,.012315,.0031300001,.019693,
826,1950,.029414961,.027601676,.066170432,.10610791,.14181586,.15415062,0,0,0,0,0,0,0,0,-.0060327421,.03660544,.031104568,-.014996884,.010257,.012315,.0031300001,.019693
826,1951,-.0018132858,.036755472,.076692946,.11240089,.12473565,.1406012,0,0,0,0,0,0,0,0,.029414961,-.0060327421,.03660544,.031104568,.001221,.010257,.012315,.0031300001
826,1952,.038568757,.078506231,.11421418,.12654895,.1424145,.1403144,0,0,0,0,0,0,0,0,-.0018132858,.029414961,-.0060327421,.03660544,-.025496,.001221,.010257,.012315
826,1953,.039937474,.075645417,.087980181,.10384573,.10174564,.14143127,0,0,0,0,0,0,0,0,.038568757,-.0018132858,.029414961,-.0060327421,-.0094569996,-.025496,.001221,.010257
826,1954,.035707947,.048042707,.063908257,.061808161,.10149381,.15750055,0,0,0,0,0,0,0,0,.039937474,.038568757,-.0018132858,.029414961,.011403,-.0094569996,-.025496,.001221
826,1955,.01233476,.02820031,.026100215,.065785855,.1217926,.14752831,0,0,0,0,0,0,0,0,.035707947,.039937474,.038568757,-.0018132858,-.0095189996,.011403,-.0094569996,-.025496
826,1956,.015865549,.013765454,.053451095,.10945784,.13519354,.14847347,0,0,0,0,0,0,0,0,.01233476,.035707947,.039937474,.038568757,-.0043139998,-.0095189996,.011403,-.0094569996
826,1957,-.0021000949,.037585545,.093592286,.11932798,.13260792,.17217034,0,0,0,0,0,0,0,0,.015865549,.01233476,.035707947,.039937474,-.0059699998,-.0043139998,-.0095189996,.011403
826,1958,.03968564,.095692381,.12142808,.13470802,.17427042,.22465324,0,0,0,0,0,0,0,0,-.0021000949,.015865549,.01233476,.035707947,.013899,-.0059699998,-.0043139998,-.0095189996
826,1959,.056006745,.081742443,.095022373,.13458478,.18496761,.21285738,0,0,0,0,0,0,0,0,.03968564,-.0021000949,.015865549,.01233476,.032319002,.013899,-.0059699998,-.0043139998
826,1960,.025735701,.039015632,.07857804,.12896086,.15685064,.17734376,0,0,0,0,0,0,0,0,.056006745,.03968564,-.0021000949,.015865549,.014485,.032319002,.013899,-.0059699998
826,1961,.013279932,.052842341,.10322516,.13111493,.15160805,.17471769,0,0,0,0,0,0,0,0,.025735701,.056006745,.03968564,-.0021000949,-.0044260002,.014485,.032319002,.013899
826,1962,.039562412,.089945234,.117835,.13832811,.16143775,.20128512,0,0,0,0,0,0,0,0,.013279932,.025735701,.056006745,.03968564,.010616,-.0044260002,.014485,.032319002
826,1963,.050382823,.078272596,.098765709,.12187536,.16172275,.18224721,0,0,0,0,0,0,0,0,.039562412,.013279932,.025735701,.056006745,-.0072909999,.010616,-.0044260002,.014485
826,1964,.02788977,.048382882,.07149253,.11133991,.13186437,.19144097,0,0,0,0,0,0,0,0,.050382823,.039562412,.013279932,.025735701,.018329,-.0072909999,.010616,-.0044260002
826,1965,.020493113,.043602765,.083450146,.1039746,.16355121,.19834456,0,0,0,0,0,0,0,0,.02788977,.050382823,.039562412,.013279932,.0055269999,.018329,-.0072909999,.010616
826,1966,.02310965,.062957034,.083481491,.14305809,.17785144,.22079614,0,0,0,0,0,0,0,0,.020493113,.02788977,.050382823,.039562412,.0052029998,.0055269999,.018329,-.0072909999
826,1967,.039847381,.060371839,.11994845,.15474179,.19768649,.26284724,0,0,0,0,0,0,0,0,.02310965,.020493113,.02788977,.050382823,.010163,.0052029998,.0055269999,.018329
826,1968,.020524457,.080101065,.11489442,.15783912,.22299987,.19827312,0,0,0,0,0,0,0,0,.039847381,.02310965,.020493113,.02788977,.005657,.010163,.0052029998,.0055269999
