COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,84,1345.378520966613,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,0,1343.209481999462,1341.284965180758,1341.56661483526,1339.740050698422,0,0,0,0
1,85,1347.743676002953,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,0,1345.378520966613,1343.209481999462,1341.284965180758,1341.56661483526,0,0,0,0
1,86,1348.969440122411,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,0,1347.743676002953,1345.378520966613,1343.209481999462,1341.284965180758,0,0,0,0
1,87,1349.623216209322,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,0,1348.969440122411,1347.743676002953,1345.378520966613,1343.209481999462,0,0,0,0
1,88,1352.89604588422,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,0,1349.623216209322,1348.969440122411,1347.743676002953,1345.378520966613,0,0,0,0
1,89,1354.163019129933,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,0,1352.89604588422,1349.623216209322,1348.969440122411,1347.743676002953,0,0,0,0
1,90,1355.780629938035,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,0,1354.163019129933,1352.89604588422,1349.623216209322,1348.969440122411,0,0,0,0
1,91,1357.150655819581,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,0,1355.780629938035,1354.163019129933,1352.89604588422,1349.623216209322,0,0,0,0
1,92,1359.132809888348,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,0,1357.150655819581,1355.780629938035,1354.163019129933,1352.89604588422,0,0,0,0
1,93,1359.517246047182,1362.197865081705,1364.457019310325,1365.88554320502,1367.311029437316,1367.334476333822,1368.975344472971,1370.008658486405,1371.036424830048,1372.656556543318,1373.505060228781,0,1359.132809888348,1357.150655819581,1355.780629938035,1354.163019129933,0,0,0,0
